"16821248","16821503","TH","Thailand","Phangnga","Takua Thung","8.383730","98.451230","82130","+07:00"
"16821504","16821759","TH","Thailand","Phangnga","Thai Mueang","8.399140","98.260610","82120","+07:00"
"16821760","16822015","TH","Thailand","Phangnga","Takua Pa","8.870500","98.343830","82110","+07:00"
"16822016","16822271","TH","Thailand","Phangnga","Ko Yao","8.110140","98.592310","83110","+07:00"
"16822272","16822527","TH","Thailand","Phangnga","Thai Mueang","8.399140","98.260610","82120","+07:00"
"16822528","16822783","TH","Thailand","Chanthaburi","Tha Mai","12.621370","102.004800","22120","+07:00"
"16822784","16823039","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
"16823040","16823295","TH","Thailand","Trat","Khao Saming","12.353530","102.435500","23130","+07:00"
"16823296","16823551","TH","Thailand","Chanthaburi","Tha Mai","12.621370","102.004800","22120","+07:00"
"16823552","16823807","TH","Thailand","Chanthaburi","Khlung","12.454670","102.221420","22110","+07:00"
"16823808","16824063","TH","Thailand","Trat","Khao Saming","12.353530","102.435500","23130","+07:00"
"16824064","16824319","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
"16824320","16824831","TH","Thailand","Trat","Khao Saming","12.353530","102.435500","23130","+07:00"
"16824832","16825087","TH","Thailand","Chanthaburi","Khao Khitchakut","12.804810","102.115140","34260","+07:00"
"16825088","16825343","TH","Thailand","Chanthaburi","Pong Nam Ron","12.905750","102.262250","22140","+07:00"
"16825344","16825599","TH","Thailand","Chanthaburi","Laem Sing","12.481640","102.073750","22130","+07:00"
"16825600","16825855","TH","Thailand","Chanthaburi","Chanthaburi","12.609610","102.104470","22210","+07:00"
"16825856","16826111","TH","Thailand","Chanthaburi","Khao Khitchakut","12.804810","102.115140","34260","+07:00"
"16826112","16826367","TH","Thailand","Trat","Khao Saming","12.353530","102.435500","23130","+07:00"
"16826368","16826623","TH","Thailand","Nakhon Si Thammarat","Thung Song","8.164530","99.680390","80110","+07:00"
"16826624","16826879","TH","Thailand","Nakhon Si Thammarat","Na Bon","8.261670","99.594720","80220","+07:00"
"16826880","16827391","TH","Thailand","Nakhon Si Thammarat","Nakhon Si Thammarat","8.433330","99.966670","80230","+07:00"
"16827392","16827647","TH","Thailand","Surat Thani","Don Sak","9.316760","99.691840","84220","+07:00"
"16827648","16827903","TH","Thailand","Nakhon Si Thammarat","Chawang","8.426140","99.504720","80150","+07:00"
